profile	1.1.0	1.1.0-bbf27d48a-sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=11.5.50	# Last updated Fri Jul 29 21:33:24 2022

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
     5.89378	    0.375561	     84.8431	       29592	 0.000199168	     32x64x16x16	N4quda6WilsonINS_9WilsonArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,xpay,dagger,parity=1	# 3498.45 Gflop/s, 1743.96 GB/s, tuning took 0.350852 seconds at Mon Jul 11 18:27:47 2022
     5.56324	    0.354498	     85.1976	         334	   0.0166564	 bytes=201326592	cudaMemcpyDefault	copy,color_spinor_field.cpp,498	# 0.00 Gflop/s, 12.09 GB/s, tuning took 0.118279 seconds at Mon Jul 11 18:22:57 2022
     5.31966	    0.338977	     85.5366	         187	   0.0284474	     64x64x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s2EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=1048576,parity=2,precision=2,order=2,Ns=4,Nc=72,TwistFlavor=1,comm=0011,computeVUV,tile_size=4x2x1,dim=0,dir=back,nFace=1,bidirectional,GPU-device,coarse_vol=16x16x4x4	# 4076.44 Gflop/s, 2048.84 GB/s, tuning took 13.136487 seconds at Mon Jul 11 18:30:39 2022
     5.23611	    0.333653	     85.8703	         187	   0.0280006	     64x64x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s2EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=1048576,parity=2,precision=2,order=2,Ns=4,Nc=72,TwistFlavor=1,comm=0011,computeVUV,tile_size=4x2x1,dim=0,dir=fwd,nFace=1,bidirectional,GPU-device,coarse_vol=16x16x4x4	# 4141.49 Gflop/s, 2081.53 GB/s, tuning took 12.989390 seconds at Mon Jul 11 18:29:20 2022
     5.19832	    0.331245	     86.2015	         187	   0.0277985	     64x64x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s2EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=1048576,parity=2,precision=2,order=2,Ns=4,Nc=72,TwistFlavor=1,comm=0011,computeVUV,tile_size=4x2x1,dim=1,dir=back,nFace=1,bidirectional,GPU-device,coarse_vol=16x16x4x4	# 4171.59 Gflop/s, 2096.66 GB/s, tuning took 13.044429 seconds at Mon Jul 11 18:30:59 2022
     5.16737	    0.329273	     86.5308	         187	    0.027633	     64x64x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s2EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=1048576,parity=2,precision=2,order=2,Ns=4,Nc=72,TwistFlavor=1,comm=0011,computeVUV,tile_size=4x2x1,dim=1,dir=fwd,nFace=1,bidirectional,GPU-device,coarse_vol=16x16x4x4	# 4196.58 Gflop/s, 2109.22 GB/s, tuning took 12.939524 seconds at Mon Jul 11 18:29:40 2022
     5.13239	    0.327044	     86.8578	       95230	 5.38947e-05	   32x64x16x16x2	N4quda17NdegTwistedCloverINS_20NdegTwistedCloverArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=exterior_all,commDim=0011,xpay,parity=1	# 992.26 Gflop/s, 1517.57 GB/s, tuning took 0.045290 seconds at Mon Jul 11 18:23:27 2022
     5.12823	    0.326779	     87.1846	         187	   0.0274237	     64x64x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s2EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=1048576,parity=2,precision=2,order=2,Ns=4,Nc=72,TwistFlavor=1,comm=0011,computeVUV,tile_size=4x2x1,dim=2,dir=back,nFace=1,bidirectional,GPU-device,coarse_vol=16x16x4x4	# 4228.60 Gflop/s, 2125.31 GB/s, tuning took 12.829318 seconds at Mon Jul 11 18:31:18 2022
     5.05554	    0.322147	     87.5068	       11289	 0.000447829	   32x64x16x16x2	N4quda4blas7axpbyz_IdEE	GPU-offline,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,TwistFlavor=2	# 168.59 Gflop/s, 1348.68 GB/s, tuning took 0.065268 seconds at Mon Jul 11 18:24:20 2022
     5.04737	    0.321626	     87.8284	         187	   0.0269913	     64x64x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s2EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=1048576,parity=2,precision=2,order=2,Ns=4,Nc=72,TwistFlavor=1,comm=0011,computeVUV,tile_size=4x2x1,dim=2,dir=fwd,nFace=1,bidirectional,GPU-device,coarse_vol=16x16x4x4	# 4296.36 Gflop/s, 2159.37 GB/s, tuning took 12.718374 seconds at Mon Jul 11 18:30:00 2022
