tts prec
1.068925e+00 single_single
1.078589e+00 single_single
1.066245e+00 single_single
2.184189e+00 single_single
2.186753e+00 single_single
1.070152e+00 single_single
1.066626e+00 single_single
1.182980e+00 single_single
2.184992e+00 single_single
8.449562e+00 single_single
1.071549e+00 single_single
1.140557e+00 single_single
1.071947e+00 single_single
2.182350e+00 single_single
2.187641e+00 single_single
1.073737e+00 single_single
1.077002e+00 single_single
1.117055e+00 single_single
2.187031e+00 single_single
8.338914e+00 single_single
8.395407e+00 single_single
1.152235e+00 single_single
1.076249e+00 single_single
1.071910e+00 single_single
2.222639e+00 single_single
2.190654e+00 single_single
1.073951e+00 single_single
1.069461e+00 single_single
1.072261e+00 single_single
2.162650e+00 single_single
8.300178e+00 single_single
1.073687e+00 single_single
1.072115e+00 single_single
1.071587e+00 single_single
2.181256e+00 single_single
2.179616e+00 single_single
1.112643e+00 single_single
1.072145e+00 single_single
1.120384e+00 single_single
2.182414e+00 single_single
8.510064e+00 single_single
8.467481e+00 single_single
1.086928e+00 single_single
1.085052e+00 single_single
1.066819e+00 single_single
2.175008e+00 single_single
2.188673e+00 single_single
1.067763e+00 single_single
1.069921e+00 single_single
1.074370e+00 single_single
2.187516e+00 single_single
8.429268e+00 single_single
1.068241e+00 single_single
1.070393e+00 single_single
1.068716e+00 single_single
2.188606e+00 single_single
2.183940e+00 single_single
1.075384e+00 single_single
1.068561e+00 single_single
1.120824e+00 single_single
2.177669e+00 single_single
8.317167e+00 single_single
8.331134e+00 single_single
1.056527e+00 single_single
1.074041e+00 single_single
1.056518e+00 single_single
2.180908e+00 single_single
2.170793e+00 single_single
1.066567e+00 single_single
1.067954e+00 single_single
1.069342e+00 single_single
2.169426e+00 single_single
8.304308e+00 single_single
1.069244e+00 single_single
1.064830e+00 single_single
1.122659e+00 single_single
2.186775e+00 single_single
2.173382e+00 single_single
1.153497e+00 single_single
1.070299e+00 single_single
1.070936e+00 single_single
2.186226e+00 single_single
8.327971e+00 single_single
8.307826e+00 single_single
1.068276e+00 single_single
1.070094e+00 single_single
1.086918e+00 single_single
2.176695e+00 single_single
2.224798e+00 single_single
1.066022e+00 single_single
1.074791e+00 single_single
1.200945e+00 single_single
2.187614e+00 single_single
8.306855e+00 single_single
1.064745e+00 single_single
1.062676e+00 single_single
1.066008e+00 single_single
2.186328e+00 single_single
2.178390e+00 single_single
